Count,Name,Foil,Card Number,Edition,Language,,,,,,,,,,,,,,,
1,Advance Scout,,2,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Angelic Page,,4,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Argothian Elder,,6,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Armored Pegasus,,7,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Catastrophe,,12,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Dirtcowl Wurm,,19,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Drifting Meadow,,22,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Elvish Lyrist,,23,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Fecundity,,25,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Fertile Ground,,26,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Giant Growth,,29,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Hurricane,,33,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Land Tax,,35,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Master Decoy,,44,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Pacifism,,48,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Sanctum Custodian,,62,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Sanctum Guardian,,63,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Sandstorm,,64,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Scaled Wurm,,65,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Seasoned Marshal,,67,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Soltari Foot Soldier,,74,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Spike Colony,,77,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Spike Worker,,80,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Sun Clasp,,83,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Vec Townships,,93,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Forest,,102,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Forest,,103,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Forest,,105,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Plains,,124,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Plains,,125,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Plains,,127,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Plains,,128,Battle Royale Box Set,English,,,,,,,,,,,,,,,
1,Plains,,129,Battle Royale Box Set,English,,,,,,,,,,,,,,,
2,Plains,,132,Battle Royale Box Set,English,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
