Count,Name,Foil,Card Number,Edition,Language
2,Carbonize,,83,Scourge,English
1,Enrage,,91,Scourge,English
3,Goblin Brigand,,94,Scourge,English
1,Goblin Psychopath,,95,Scourge,English
2,Goblin War Strike,,96,Scourge,English
1,Goblin Warchief,,97,Scourge,English
3,Rock Jockey,,101,Scourge,English
1,Siege-Gang Commander,,103,Scourge,English
2,Skirk Volcanist,,104,Scourge,English
1,Sulfuric Vortex,,106,Scourge,English
1,Gempalm Incinerator,,94,Legions,English
2,Goblin Grappler,,100,Legions,English
1,Skirk Drill Sergeant,,112,Legions,English
2,Skirk Marauder,,113,Legions,English
1,Flamestick Courier,,203,Onslaught,English
2,Goblin Sky Raider,,208,Onslaught,English
2,Goblin Sledder,,209,Onslaught,English
2,Goblin Taskmaster,,210,Onslaught,English
1,Nosy Goblin,,220,Onslaught,English
1,Reckless One,,222,Onslaught,English
2,Skirk Commando,,228,Onslaught,English
1,Sparksmith,,235,Onslaught,English
1,Wave of Indifference,,243,Onslaught,English
2,Forgotten Cave,,317,Onslaught,English
2,Goblin Burrows,,318,Onslaught,English
5,Mountain,,343,Onslaught,English
5,Mountain,,344,Onslaught,English
5,Mountain,,345,Onslaught,English
5,Mountain,,346,Onslaught,English
