Count,Name,Foil,Card Number,Edition,Language
1,Contempt,,27,Stronghold,English
1,Evacuation,,30,Stronghold,English
1,Intruder Alarm,,34,Stronghold,English
3,Mana Leak,,36,Stronghold,English
1,Mind Games,,38,Stronghold,English
1,Ransack,,39,Stronghold,English
1,Reins of Power,,41,Stronghold,English
1,Wall of Tears,,50,Stronghold,English
2,Fanning the Flames,,80,Stronghold,English
2,Flowstone Blade,,83,Stronghold,English
2,Shock,,98,Stronghold,English
1,Wall of Razors,,100,Stronghold,English
2,Capsize,,55,Tempest,English
1,Counterspell,,57,Tempest,English
2,Power Sink,,78,Tempest,English
2,Propaganda,,80,Tempest,English
2,Spell Blast,,89,Tempest,English
1,Whispers of the Muse,,103,Tempest,English
3,Lightning Blast,,185,Tempest,English
1,Mogg Fanatic,,190,Tempest,English
1,Searing Touch,,201,Tempest,English
1,Shatter,,203,Tempest,English
4,Island,,313,Tempest,English
4,Island,,314,Tempest,English
3,Island,,315,Tempest,English
3,Island,,316,Tempest,English
4,Mountain,,319,Tempest,English
3,Mountain,,320,Tempest,English
3,Mountain,,321,Tempest,English
3,Mountain,,322,Tempest,English
