Count,Name,Foil,Card Number,Edition,Language
1,Settle the Wreckage,,34,Ixalan,English
4,Opt,,65,Ixalan,English
2,Field of Ruin,,254,Ixalan,English
4,Supreme Will,,49,Hour of Devastation,English
1,Farm // Market,,148,Hour of Devastation,English
2,Ipnu Rivulet,,180,Hour of Devastation,English
3,Approach of the Second Sun,,4,Amonkhet,English
4,Cast Out,,8,Amonkhet,English
1,Renewed Faith,,25,Amonkhet,English
4,Censor,,46,Amonkhet,English
1,Kefnet the Mindful,,59,Amonkhet,English
4,Irrigated Farmland,,245,Amonkhet,English
3,Plains,,255,Amonkhet,English
3,Plains,,256,Amonkhet,English
2,Plains,,257,Amonkhet,English
4,Island,,258,Amonkhet,English
3,Island,,259,Amonkhet,English
3,Island,,260,Amonkhet,English
3,Fumigate,,15,Kaladesh,English
4,Aether Meltdown,,36,Kaladesh,English
4,Glimmer of Genius,,49,Kaladesh,English
,,,,,
,SIDEBOARD,,,,
2,Spell Pierce,,81,Ixalan,English
4,Regal Caracal,,24,Amonkhet,English
2,Renewed Faith,,25,Amonkhet,English
2,Glyph Keeper,,55,Amonkhet,English
1,Kefnet the Mindful,,59,Amonkhet,English
4,Negate,,40,Aether Revolt,English
