Count,Name,Foil,Card Number,Edition,Language
2,Elite Instructor,,49,Theros Beyond Death,English
2,Glimpse of Freedom,,50,Theros Beyond Death,English
3,Sleep of the Dead,,66,Theros Beyond Death,English
3,Towering-Wave Mystic,,77,Theros Beyond Death,English
2,Final Death,,95,Theros Beyond Death,English
2,Funeral Rites,,97,Theros Beyond Death,English
1,Gravebreaker Lamia,,98,Theros Beyond Death,English
2,Mire's Grasp,,106,Theros Beyond Death,English
2,Pharika's Spawn,,112,Theros Beyond Death,English
3,Underworld Charger,,120,Theros Beyond Death,English
2,Devourer of Memory,,213,Theros Beyond Death,English
2,Unknown Shores,,249,Theros Beyond Death,English
1,"Tymaret, Chosen from Death",,263,Theros Beyond Death,English
1,"Ashiok, Sculptor of Fears",foil,274,Theros Beyond Death,English
3,Swimmer in Nightmares,,275,Theros Beyond Death,English
4,Mindwrack Harpy,,276,Theros Beyond Death,English
2,Ashiok's Forerunner,,277,Theros Beyond Death,English
6,Island,,280,Theros Beyond Death,English
5,Island,,281,Theros Beyond Death,English
6,Swamp,,282,Theros Beyond Death,English
6,Swamp,,283,Theros Beyond Death,English
