Count,Name,Foil,Card Number,Edition,Language
,,,,,
,RARES,,,,
1,Victory's Envoy,,289,Theros Beyond Death,English
1,Serpent of Yawning Depths,,291,Theros Beyond Death,English
1,Demon of Loathing,,292,Theros Beyond Death,English
1,Terror of Mount Velus,,295,Theros Beyond Death,English
1,Treeshaker Chimera,,297,Theros Beyond Death,English
,,,,,
,WHITE,,,,
1,Banishing Light,,4,Theros Beyond Death,English
1,"Daxos, Blessed by the Sun",,9,Theros Beyond Death,English
1,Daybreak Chimera,,10,Theros Beyond Death,English
1,Reverent Hoplite,,33,Theros Beyond Death,English
1,Ardenvale Paladin,,4,Throne of Eldraine,English
1,Ardenvale Tactician // Dizzying Swoop,,5,Throne of Eldraine,English
1,Lonesome Unicorn // Rider in Need,,21,Throne of Eldraine,English
1,Mysterious Pathlighter,,22,Throne of Eldraine,English
1,Shepherd of the Flock // Usher to Safety,,28,Throne of Eldraine,English
1,Silverflame Squire // On Alert,,31,Throne of Eldraine,English
1,"Syr Alin, the Lion's Claw",,32,Throne of Eldraine,English
1,Trapped in the Tower,,33,Throne of Eldraine,English
2,Venerable Knight,,35,Throne of Eldraine,English
,,,,,
,BLUE,,,,
1,"Callaphe, Beloved of the Sea",,45,Theros Beyond Death,English
1,Glimpse of Freedom,,50,Theros Beyond Death,English
1,Sea God's Scorn,,63,Theros Beyond Death,English
1,Thirst for Meaning,,74,Theros Beyond Death,English
1,Charmed Sleep,,40,Throne of Eldraine,English
2,Faerie Vandal,,45,Throne of Eldraine,English
1,Hypnotic Sprite // Mesmeric Glare,,49,Throne of Eldraine,English
1,Mantle of Tides,,52,Throne of Eldraine,English
1,Opt,,59,Throne of Eldraine,English
1,So Tiny,,64,Throne of Eldraine,English
1,Steelgaze Griffin,,65,Throne of Eldraine,English
2,Tome Raider,,68,Throne of Eldraine,English
1,Unexplained Vision,,70,Throne of Eldraine,English
1,Witching Well,,74,Throne of Eldraine,English
,,,,,
,BLACK,,,,
1,Blight-Breath Catoblepas,,86,Theros Beyond Death,English
1,Funeral Rites,,97,Theros Beyond Death,English
1,Gray Merchant of Asphodel,,99,Theros Beyond Death,English
1,Pharika's Spawn,,112,Theros Beyond Death,English
1,"Tymaret, Chosen from Death",,119,Theros Beyond Death,English
1,Underworld Charger,,120,Theros Beyond Death,English
2,Bake into a Pie,,76,Throne of Eldraine,English
1,Barrow Witches,,77,Throne of Eldraine,English
1,Foulmire Knight // Profane Insight,,90,Throne of Eldraine,English
1,Locthwain Paladin,,93,Throne of Eldraine,English
1,Memory Theft,,96,Throne of Eldraine,English
1,Order of Midnight // Alter Fate,,99,Throne of Eldraine,English
2,Reave Soul,,103,Throne of Eldraine,English
1,Smitten Swordmaster // Curry Favor,,105,Throne of Eldraine,English
2,Bloodhaze Wolverine,,113,Throne of Eldraine,English
1,Burning-Yard Trainer,,117,Throne of Eldraine,English
1,Claim the Firstborn,,118,Throne of Eldraine,English
,,,,,
,RED,,,,
1,"Anax, Hardened in the Forge",,125,Theros Beyond Death,English
1,Fling,,126,Throne of Eldraine,English
1,Merchant of the Vale // Haggle,,131,Throne of Eldraine,English
1,Ogre Errant,,132,Throne of Eldraine,English
1,Raging Redcap,,134,Throne of Eldraine,English
1,Rimrock Knight // Boulder Rush,,137,Throne of Eldraine,English
2,Scorching Dragonfire,,139,Throne of Eldraine,English
1,Slaying Fire,,143,Throne of Eldraine,English
2,Thrill of Possibility,,146,Throne of Eldraine,English
1,Weaselback Redcap,,148,Throne of Eldraine,English
,,,,,
,GREEN,,,,
1,Nessian Wanderer,,183,Theros Beyond Death,English
2,Beanstalk Giant // Fertile Footsteps,,149,Throne of Eldraine,English
2,Curious Pair // Treats to Share,,150,Throne of Eldraine,English
2,Flaxen Intruder // Welcome Home,,155,Throne of Eldraine,English
2,Garenbrig Carver // Shield's Might,,156,Throne of Eldraine,English
2,Rosethorn Acolyte // Seasonal Ritual,,174,Throne of Eldraine,English
1,"Syr Faren, the Hengehammer",,177,Throne of Eldraine,English
1,Tall as a Beanstalk,,178,Throne of Eldraine,English
2,Tuinvale Treefolk // Oaken Boon,,180,Throne of Eldraine,English
,,,,,
,MULTICOLORED,,,,
1,Acolyte of Affliction,,206,Theros Beyond Death,English
1,Devourer of Memory,,213,Theros Beyond Death,English
1,"Renata, Called to the Hunt",,196,Theros Beyond Death,English
1,Staggering Insight,,228,Theros Beyond Death,English
1,"Grumgully, the Generous",,192,Throne of Eldraine,English
2,Improbable Alliance,,193,Throne of Eldraine,English
4,Inspiring Veteran,,194,Throne of Eldraine,English
1,Maraleaf Pixie,,196,Throne of Eldraine,English
1,Steelclaw Lance,,202,Throne of Eldraine,English
2,Wandermare,,204,Throne of Eldraine,English
1,Wintermoor Commander,,205,Throne of Eldraine,English
,,,,,
,ARTIFACTS,,,,
1,Bronze Sword,,232,Theros Beyond Death,English
2,Traveler's Amulet,,240,Theros Beyond Death,English
1,Heraldic Banner,,222,Throne of Eldraine,English
1,Jousting Dummy,,224,Throne of Eldraine,English
,,,,,
,LANDS,,,,
2,Unknown Shores,,249,Theros Beyond Death,English
2,Bloodfell Caves,,242,Core Set 2020,English
2,Blossoming Sands,,243,Core Set 2020,English
2,Dismal Backwater,,245,Core Set 2020,English
2,Jungle Hollow,,248,Core Set 2020,English
2,Rugged Highlands,,250,Core Set 2020,English
2,Scoured Barrens,,251,Core Set 2020,English
2,Swiftwater Cliffs,,252,Core Set 2020,English
2,Thornwood Falls,,258,Core Set 2020,English
2,Tranquil Cove,,259,Core Set 2020,English
2,Wind-Scarred Crag,,260,Core Set 2020,English
,,,,,
,BASIC LANDS,,,,
10,Plains,,278,Theros Beyond Death,English
10,Plains,,279,Theros Beyond Death,English
10,Island,,280,Theros Beyond Death,English
10,Island,,281,Theros Beyond Death,English
10,Swamp,,282,Theros Beyond Death,English
10,Swamp,,283,Theros Beyond Death,English
10,Mountain,,284,Theros Beyond Death,English
10,Mountain,,285,Theros Beyond Death,English
10,Forest,,286,Theros Beyond Death,English
10,Forest,,287,Theros Beyond Death,English
