Count,Name,Foil,Card Number,Edition,Language
2,Dauntless Onslaught,,6,Theros,English
1,Fabled Hero,,12,Theros,English
2,Gods Willing,,16,Theros,English
3,Hopeful Eidolon,,19,Theros,English
1,Ordeal of Heliod,,25,Theros,English
1,Soldier of the Pantheon,,32,Theros,English
2,Ordeal of Thassa,,58,Theros,English
3,Battlewise Hoplite,,189,Theros,English
3,Plains,,230,Theros,English
3,Plains,,231,Theros,English
4,Plains,,232,Theros,English
4,Plains,,233,Theros,English
1,Island,,234,Theros,English
2,Island,,235,Theros,English
1,Island,,236,Theros,English
1,Island,,237,Theros,English
2,Banisher Priest,,7,Magic 2014 Core Set,English
2,Imposing Sovereign,,22,Magic 2014 Core Set,English
2,Pacifism,,25,Magic 2014 Core Set,English
2,Ascended Lawmage,,53,Dragon's Maze,English
1,Lavinia of the Tenth,,80,Dragon's Maze,English
1,Frontline Medic,,12,Gatecrash,English
1,Precinct Captain,,17,Return to Ravnica,English
2,Detention Sphere,,155,Return to Ravnica,English
3,Lyev Skyknight,,179,Return to Ravnica,English
1,New Prahv Guildmage,,181,Return to Ravnica,English
1,Skymark Roc,,196,Return to Ravnica,English
3,Dryad Militant,,214,Return to Ravnica,English
4,Azorius Guildgate,,237,Return to Ravnica,English
1,Hallowed Fountain,,241,Return to Ravnica,English
,,,,,
,SIDEBOARD,,,,
2,Glare of Heresy,,15,Theros,English
2,Gainsay,,49,Theros,English
2,Triton Tactics,,71,Theros,English
3,Solemn Offering,,36,Magic 2014 Core Set,English
2,Negate,,64,Magic 2014 Core Set,English
2,Gift of Orzhova,,219,Gatecrash,English
2,Arrest,,3,Return to Ravnica,English
