Count,Name,Foil,Card Number,Edition,Language
3,Aquamoeba,,24,Torment,English
1,Balshan Collaborator,,25,Torment,English
1,Breakthrough,,26,Torment,English
1,Cephalid Aristocrat,,27,Torment,English
1,Cephalid Illusionist,,28,Torment,English
1,Cephalid Vandal,,31,Torment,English
2,Churning Eddy,,32,Torment,English
2,Compulsion,,34,Torment,English
1,False Memories,,37,Torment,English
2,Obsessive Search,,43,Torment,English
1,Skywing Aven,,47,Torment,English
2,Chainer's Edict,,57,Torment,English
4,Organ Grinder,,75,Torment,English
2,Tainted Isle,,141,Torment,English
2,Careful Study,,70,Odyssey,English
1,Cephalid Broker,,71,Odyssey,English
2,Cephalid Looter,,72,Odyssey,English
2,Afflict,,115,Odyssey,English
2,Crypt Creeper,,125,Odyssey,English
1,Morgue Theft,,151,Odyssey,English
1,Painbringer,,155,Odyssey,English
1,Zombie Assassin,,168,Odyssey,English
2,Psychatog,,292,Odyssey,English
3,Island,,335,Odyssey,English
3,Island,,336,Odyssey,English
3,Island,,337,Odyssey,English
2,Island,,338,Odyssey,English
3,Swamp,,339,Odyssey,English
3,Swamp,,340,Odyssey,English
3,Swamp,,341,Odyssey,English
2,Swamp,,342,Odyssey,English
