Count,Name,Foil,Card Number,Edition,Language
1,Angel of Retribution,,1,Torment,English
1,Hypochondria,,7,Torment,English
3,Mystic Familiar,,11,Torment,English
1,Stern Judge,,16,Torment,English
1,Strength of Isolation,,17,Torment,English
3,Teroh's Faithful,,18,Torment,English
1,Teroh's Vanguard,,19,Torment,English
2,Cabal Surgeon,,52,Torment,English
1,Carrion Wurm,,55,Torment,English
4,Crippling Fatigue,,58,Torment,English
1,Grotesque Hybrid,,63,Torment,English
1,Ichorid,,65,Torment,English
3,Putrid Imp,,77,Torment,English
2,Tainted Field,,140,Torment,English
1,Auramancer,,5,Odyssey,English
1,Aven Cloudchaser,,7,Odyssey,English
3,Buried Alive,,118,Odyssey,English
1,Crypt Creeper,,125,Odyssey,English
4,Gravedigger,,140,Odyssey,English
1,Malevolent Awakening,,147,Odyssey,English
1,Whispering Shade,,167,Odyssey,English
1,Zombify,,171,Odyssey,English
3,Plains,,331,Odyssey,English
3,Plains,,332,Odyssey,English
2,Plains,,333,Odyssey,English
2,Plains,,334,Odyssey,English
3,Swamp,,339,Odyssey,English
3,Swamp,,340,Odyssey,English
3,Swamp,,341,Odyssey,English
3,Swamp,,342,Odyssey,English
