Count,Name,Foil,Card Number,Edition,Language
1,"Chainer, Dementia Master",,56,Torment,English
3,Faceless Butcher,,60,Torment,English
1,Gravegouger,,62,Torment,English
3,Mesmeric Fiend,,69,Torment,English
2,Rancid Earth,,78,Torment,English
1,Shade's Form,,81,Torment,English
1,Slithery Stalker,,84,Torment,English
3,Soul Scourge,,85,Torment,English
3,Barbarian Outcast,,92,Torment,English
1,Enslaved Dwarf,,96,Torment,English
1,Flaming Gambit,,98,Torment,English
2,Pardic Collaborator,,106,Torment,English
1,Petradon,,108,Torment,English
3,Petravark,,109,Torment,English
2,Pyromania,,112,Torment,English
2,Temporary Insanity,,116,Torment,English
2,Tainted Peak,,142,Torment,English
1,Caustic Tar,,122,Odyssey,English
1,Malevolent Awakening,,147,Odyssey,English
1,Demolish,,183,Odyssey,English
2,Firebolt,,193,Odyssey,English
2,Flame Burst,,194,Odyssey,English
3,Swamp,,339,Odyssey,English
3,Swamp,,340,Odyssey,English
3,Swamp,,341,Odyssey,English
3,Swamp,,342,Odyssey,English
3,Mountain,,343,Odyssey,English
2,Mountain,,344,Odyssey,English
2,Mountain,,345,Odyssey,English
2,Mountain,,346,Odyssey,English
