Count,Name,Foil,Card Number,Edition,Language
1,Adorable Kitten,,1,Unsanctioned,English
1,AWOL,,2,Unsanctioned,English
1,Emcee,,3,Unsanctioned,English
1,Flavor Judge,,4,Unsanctioned,English
1,Frankie Peanuts,,5,Unsanctioned,English
1,GO TO JAIL,,6,Unsanctioned,English
1,Humming-,,7,Unsanctioned,English
1,Knight of the Hokey Pokey,,8,Unsanctioned,English
1,"Look at Me, I'm R&D",,9,Unsanctioned,English
1,"Look at Me, I'm the DCI",,10,Unsanctioned,English
1,Old Guard,,11,Unsanctioned,English
1,Ordinary Pony,,12,Unsanctioned,English
1,Staying Power,,13,Unsanctioned,English
1,Strutting Turkey,,14,Unsanctioned,English
1,"Syr Cadian, Knight Owl",,15,Unsanctioned,English
1,Alexander Clamilton,,16,Unsanctioned,English
1,Avatar of Me,,17,Unsanctioned,English
1,B.O.B. (Bevy of Beebles),,18,Unsanctioned,English
1,Carnivorous Death-Parrot,,19,Unsanctioned,English
1,Cheatyface,,20,Unsanctioned,English
1,Chicken à la King,,21,Unsanctioned,English
1,Common Courtesy,,22,Unsanctioned,English
1,"Johnny, Combo Player",,23,Unsanctioned,English
1,Magic Word,,24,Unsanctioned,English
1,Mer Man,,25,Unsanctioned,English
1,"Richard Garfield, Ph.D.",,26,Unsanctioned,English
1,Rings a Bell,,27,Unsanctioned,English
1,Time Out,,28,Unsanctioned,English
1,Topsy Turvy,,29,Unsanctioned,English
1,Wall of Fortune,,30,Unsanctioned,English
1,"Acornelia, Fashionable Filcher",,31,Unsanctioned,English
1,Bat-,,32,Unsanctioned,English
1,Booster Tutor,,33,Unsanctioned,English
1,Dirty Rat,,34,Unsanctioned,English
1,Duh,,35,Unsanctioned,English
1,Enter the Dungeon,,36,Unsanctioned,English
1,Hoisted Hireling,,37,Unsanctioned,English
1,Infernal Spawn of Evil,,38,Unsanctioned,English
1,Infernal Spawn of Infernal Spawn of Evil,,39,Unsanctioned,English
1,"Infernius Spawnington III, Esq.",,40,Unsanctioned,English
1,Inhumaniac,,41,Unsanctioned,English
1,Jumbo Imp,,42,Unsanctioned,English
1,Poultrygeist,,43,Unsanctioned,English
1,Skull Saucer,,44,Unsanctioned,English
1,Snickering Squirrel,,45,Unsanctioned,English
1,Stinging Scorpion,,46,Unsanctioned,English
1,Abstract Iguanart,,47,Unsanctioned,English
1,Blast from the Past,,48,Unsanctioned,English
1,Boomstacker,,49,Unsanctioned,English
1,Common Iguana,,50,Unsanctioned,English
1,Goblin Haberdasher,,51,Unsanctioned,English
1,Goblin S.W.A.T. Team,,52,Unsanctioned,English
1,Goblin Tutor,,53,Unsanctioned,English
1,Infinity Elemental,,54,Unsanctioned,English
1,Painiac,,55,Unsanctioned,English
1,Six-y Beast,,56,Unsanctioned,English
1,"Stet, Draconic Proofreader",,57,Unsanctioned,English
1,"Strategy, Schmategy",,58,Unsanctioned,English
1,Super-Duper Death Ray,,59,Unsanctioned,English
1,Yet Another Aether Vortex,,60,Unsanctioned,English
1,B-I-N-G-O,,61,Unsanctioned,English
1,Elvish Impersonators,,62,Unsanctioned,English
1,Free-Range Chicken,,63,Unsanctioned,English
1,Growth Spurt,,64,Unsanctioned,English
1,"Half-Squirrel, Half-",,65,Unsanctioned,English
1,Mother Kangaroo,,66,Unsanctioned,English
1,Old Fogey,,67,Unsanctioned,English
1,"Pippa, Duchess of Dice",,68,Unsanctioned,English
1,Slaying Mantis,,69,Unsanctioned,English
1,Spirit of the Season,,70,Unsanctioned,English
1,Squirrel Farm,,71,Unsanctioned,English
1,Surgeon ~General~ Commander,,72,Unsanctioned,English
1,"Timmy, Power Gamer",,73,Unsanctioned,English
1,Wild Crocodile,,74,Unsanctioned,English
1,Who // What // When // Where // Why,,75,Unsanctioned,English
1,Bronze Calendar,,76,Unsanctioned,English
1,Entirely Normal Armchair,,77,Unsanctioned,English
1,Jack-in-the-Mox,,78,Unsanctioned,English
1,Krark's Other Thumb,,79,Unsanctioned,English
1,Paper Tiger,,80,Unsanctioned,English
1,Pointy Finger of Doom,,81,Unsanctioned,English
1,Rock Lobster,,82,Unsanctioned,English
1,Scissors Lizard,,83,Unsanctioned,English
1,Sword of Dungeons & Dragons,,84,Unsanctioned,English
1,Water Gun Balloon Game,,85,Unsanctioned,English
5,Underdome,,86,Unsanctioned,English
12,Plains,,87,Unsanctioned,English
1,Plains,,88,Unsanctioned,English
1,Plains,foil,88,Unsanctioned,English
12,Island,,89,Unsanctioned,English
1,Island,,90,Unsanctioned,English
1,Island,foil,90,Unsanctioned,English
12,Swamp,,91,Unsanctioned,English
1,Swamp,,92,Unsanctioned,English
1,Swamp,foil,92,Unsanctioned,English
12,Mountain,,93,Unsanctioned,English
1,Mountain,,94,Unsanctioned,English
1,Mountain,foil,94,Unsanctioned,English
12,Forest,,95,Unsanctioned,English
1,Forest,,96,Unsanctioned,English
1,Forest,foil,96,Unsanctioned,English
4,Beeble // Squirrel,,1,Extras: Unsanctioned,English
3,Beeble // Dragon,,2,Extras: Unsanctioned,English
2,Goblin // Giant Teddy Bear,,3,Extras: Unsanctioned,English
1,Giant Teddy Bear // Acorn Stash,,4,Extras: Unsanctioned,English
