Count,Name,Foil,Card Number,Edition,Language
4,Lightning Strike,,149,Ixalan,English
1,Dragonskull Summit,,252,Ixalan,English
3,Unclaimed Territory,,258,Ixalan,English
2,Evolving Wilds,,242,Amonkhet,English
1,Aethersphere Harvester,,142,Aether Revolt,English
4,Heart of Kiran,,153,Aether Revolt,English
4,Spire of Industry,,184,Aether Revolt,English
4,Toolcraft Exemplar,,32,Kaladesh,English
2,Pia Nalaar,,124,Kaladesh,English
3,"Depala, Pilot Exemplar",,178,Kaladesh,English
4,Unlicensed Disintegration,,187,Kaladesh,English
4,Veteran Motorist,,188,Kaladesh,English
4,Bomat Courier,,199,Kaladesh,English
1,Cultivator's Caravan,,203,Kaladesh,English
4,Scrapheap Scrounger,,231,Kaladesh,English
1,"Skysovereign, Consul Flagship",,234,Kaladesh,English
3,Aether Hub,,242,Kaladesh,English
1,Concealed Courtyard,,245,Kaladesh,English
1,Inspiring Vantage,,246,Kaladesh,English
2,Plains,,250,Kaladesh,English
2,Plains,,251,Kaladesh,English
1,Plains,,252,Kaladesh,English
1,Swamp,,256,Kaladesh,English
1,Mountain,,259,Kaladesh,English
1,Mountain,,260,Kaladesh,English
1,Mountain,,261,Kaladesh,English
,,,,,
,SIDEBOARD,,,,
4,Duress,,105,Ixalan,English
2,Chandra's Defeat,,86,Hour of Devastation,English
2,Crook of Condemnation,,159,Hour of Devastation,English
1,Cast Out,,8,Amonkhet,English
3,Harsh Mentor,,135,Amonkhet,English
2,Magma Spray,,141,Amonkhet,English
1,Aethersphere Harvester,,142,Aether Revolt,English
