Count,Name,Foil,Card Number,Edition,Language
3,Ajani's Pridemate,,4,War of the Spark,English
1,Bond of Discipline,,6,War of the Spark,English
4,Charmed Stray,,8,War of the Spark,English
2,Enforcer Griffin,,11,War of the Spark,English
3,Makeshift Battalion,,22,War of the Spark,English
2,Trusted Pegasus,,36,War of the Spark,English
1,War Screecher,,39,War of the Spark,English
1,Command the Dreadhorde,,82,War of the Spark,English
3,Ob Nixilis's Cruelty,,101,War of the Spark,English
1,Vampire Opportunist,,110,War of the Spark,English
3,Cruel Celebrant,,188,War of the Spark,English
1,Oath of Kaya,,209,War of the Spark,English
1,"Kaya, Bane of the Dead",,231,War of the Spark,English
4,Plains,,250,War of the Spark,English
4,Plains,,251,War of the Spark,English
4,Plains,,252,War of the Spark,English
3,Swamp,,256,War of the Spark,English
3,Swamp,,257,War of the Spark,English
2,Swamp,,258,War of the Spark,English
1,"Gideon, the Oathsworn",foil,265,War of the Spark,English
4,Desperate Lunge,,266,War of the Spark,English
2,Gideon's Battle Cry,,267,War of the Spark,English
3,Gideon's Company,,268,War of the Spark,English
4,Orzhov Guildgate,,269,War of the Spark,English
