Count,Name,Foil,Card Number,Edition,Language
1,Jace's Triumph,,55,War of the Spark,English
2,Kiora's Dambreaker,,58,War of the Spark,English
1,Spark Double,,68,War of the Spark,English
2,Stealth Mission,,70,War of the Spark,English
2,Band Together,,153,War of the Spark,English
3,Bloom Hulk,,154,War of the Spark,English
2,Courage in Crisis,,158,War of the Spark,English
2,New Horizons,,168,War of the Spark,English
3,Pollenbright Druid,,173,War of the Spark,English
1,Primordial Wurm,,174,War of the Spark,English
2,Wardscale Crocodile,,183,War of the Spark,English
1,Bioessence Hydra,,186,War of the Spark,English
2,Merfolk Skydiver,,205,War of the Spark,English
1,"Kiora, Behemoth Beckoner",,232,War of the Spark,English
4,Island,,253,War of the Spark,English
3,Island,,254,War of the Spark,English
3,Island,,255,War of the Spark,English
3,Forest,,262,War of the Spark,English
4,Forest,,263,War of the Spark,English
4,Forest,,264,War of the Spark,English
1,"Jace, Arcane Strategist",foil,270,War of the Spark,English
4,Guildpact Informant,,271,War of the Spark,English
3,Jace's Projection,,272,War of the Spark,English
2,Jace's Ruse,,273,War of the Spark,English
4,Simic Guildgate,,274,War of the Spark,English
