Count,Name,Foil,Card Number,Edition,Language
1,Goring Ceratops,,13,Ixalan,English
2,Kinjalli's Caller,,18,Ixalan,English
2,Pterodon Knight,,28,Ixalan,English
2,Rallying Roar,,30,Ixalan,English
2,Raptor Companion,,31,Ixalan,English
2,Shining Aerosaur,,36,Ixalan,English
2,Slash of Talons,,38,Ixalan,English
2,Territorial Hammerskull,,41,Ixalan,English
2,Bonded Horncrest,,133,Ixalan,English
1,Burning Sun's Avatar,,135,Ixalan,English
2,Frenzied Raptor,,146,Ixalan,English
2,Lightning Strike,,149,Ixalan,English
2,Tilonalli's Knight,,169,Ixalan,English
3,Plains,,260,Ixalan,English
3,Plains,,261,Ixalan,English
3,Plains,,262,Ixalan,English
2,Plains,,263,Ixalan,English
3,Mountain,,272,Ixalan,English
3,Mountain,,273,Ixalan,English
3,Mountain,,274,Ixalan,English
2,Mountain,,275,Ixalan,English
1,"Huatli, Dinosaur Knight",foil,285,Ixalan,English
4,Huatli's Snubhorn,,286,Ixalan,English
3,Huatli's Spurring,,287,Ixalan,English
2,Sun-Blessed Mount,,288,Ixalan,English
4,Stone Quarry,,289,Ixalan,English
