Count,Name,Foil,Card Number,Edition,Language
2,Air Elemental,,45,Ixalan,English
1,Fleet Swallower,,57,Ixalan,English
2,Headwater Sentries,,58,Ixalan,English
1,Herald of Secret Streams,,59,Ixalan,English
2,Shaper Apprentice,,75,Ixalan,English
1,Tempest Caller,,86,Ixalan,English
2,Deeproot Warrior,,186,Ixalan,English
2,Jade Guardian,,194,Ixalan,English
2,Jungle Delver,,195,Ixalan,English
2,Kumena's Speaker,,196,Ixalan,English
3,River Heralds' Boon,,204,Ixalan,English
2,Vineshaper Mystic,,214,Ixalan,English
2,Shapers of Nature,,228,Ixalan,English
3,Island,,264,Ixalan,English
3,Island,,265,Ixalan,English
3,Island,,266,Ixalan,English
2,Island,,267,Ixalan,English
3,Forest,,276,Ixalan,English
3,Forest,,277,Ixalan,English
3,Forest,,278,Ixalan,English
2,Forest,,279,Ixalan,English
1,"Jace, Ingenious Mind-Mage",foil,280,Ixalan,English
4,Castaway's Despair,,281,Ixalan,English
2,Grasping Current,,282,Ixalan,English
3,Jace's Sentinel,,283,Ixalan,English
4,Woodland Stream,,284,Ixalan,English
