Count,Name,Foil,Card Number,Edition,Language
1,"Obuun, Mul Daya Ancestor",foil,2,Zendikar Rising Commander,English
1,Trove Warden,,3,Zendikar Rising Commander,English
1,Geode Rager,,6,Zendikar Rising Commander,English
1,Abzan Falconer,,9,Zendikar Rising Commander,English
1,Admonition Angel,,10,Zendikar Rising Commander,English
1,Banishing Light,,11,Zendikar Rising Commander,English
1,Condemn,,12,Zendikar Rising Commander,English
1,Crush Contraband,,13,Zendikar Rising Commander,English
1,Elite Scaleguard,,14,Zendikar Rising Commander,English
1,Emeria Angel,,15,Zendikar Rising Commander,English
1,Emeria Shepherd,,16,Zendikar Rising Commander,English
1,Hour of Revelation,,17,Zendikar Rising Commander,English
1,Kor Cartographer,,18,Zendikar Rising Commander,English
1,Planar Outburst,,19,Zendikar Rising Commander,English
1,Retreat to Emeria,,20,Zendikar Rising Commander,English
1,Sun Titan,,21,Zendikar Rising Commander,English
1,Together Forever,,22,Zendikar Rising Commander,English
1,Abundance,,58,Zendikar Rising Commander,English
1,Acidic Slime,,59,Zendikar Rising Commander,English
1,Armorcraft Judge,,60,Zendikar Rising Commander,English
1,Beanstalk Giant // Fertile Footsteps,,61,Zendikar Rising Commander,English
1,Circuitous Route,,62,Zendikar Rising Commander,English
1,Elvish Rejuvenator,,63,Zendikar Rising Commander,English
1,Embodiment of Insight,,64,Zendikar Rising Commander,English
1,Evolution Sage,,65,Zendikar Rising Commander,English
1,Far Wanderings,,66,Zendikar Rising Commander,English
1,Fertilid,,67,Zendikar Rising Commander,English
1,Harmonize,,68,Zendikar Rising Commander,English
1,Harrow,,69,Zendikar Rising Commander,English
1,Inspiring Call,,70,Zendikar Rising Commander,English
1,Keeper of Fables,,71,Zendikar Rising Commander,English
1,Khalni Heart Expedition,,72,Zendikar Rising Commander,English
1,Kodama's Reach,,73,Zendikar Rising Commander,English
1,The Mending of Dominaria,,74,Zendikar Rising Commander,English
1,"Multani, Yavimaya's Avatar",,75,Zendikar Rising Commander,English
1,Nissa's Renewal,,76,Zendikar Rising Commander,English
1,Rampaging Baloths,,77,Zendikar Rising Commander,English
1,Retreat to Kazandu,,78,Zendikar Rising Commander,English
1,Return of the Wildspeaker,,79,Zendikar Rising Commander,English
1,Rites of Flourishing,,80,Zendikar Rising Commander,English
1,Satyr Wayfinder,,81,Zendikar Rising Commander,English
1,Sporemound,,82,Zendikar Rising Commander,English
1,Springbloom Druid,,83,Zendikar Rising Commander,English
1,Sylvan Advocate,,84,Zendikar Rising Commander,English
1,Tuskguard Captain,,85,Zendikar Rising Commander,English
1,Waker of the Wilds,,86,Zendikar Rising Commander,English
1,Yavimaya Elder,,87,Zendikar Rising Commander,English
1,Zendikar's Roil,,88,Zendikar Rising Commander,English
1,Ground Assault,,91,Zendikar Rising Commander,English
1,Living Twister,,93,Zendikar Rising Commander,English
1,"Mina and Denn, Wildborn",,94,Zendikar Rising Commander,English
1,Naya Charm,,95,Zendikar Rising Commander,English
1,"Omnath, Locus of Rage",,97,Zendikar Rising Commander,English
1,Struggle // Survive,,102,Zendikar Rising Commander,English
1,Sylvan Reclamation,,104,Zendikar Rising Commander,English
1,Treacherous Terrain,,105,Zendikar Rising Commander,English
1,Arcane Signet,,106,Zendikar Rising Commander,English
1,Sandstone Oracle,,116,Zendikar Rising Commander,English
1,Scaretiller,,117,Zendikar Rising Commander,English
1,Seer's Sundial,,119,Zendikar Rising Commander,English
1,Sol Ring,,120,Zendikar Rising Commander,English
1,Blighted Woodland,,121,Zendikar Rising Commander,English
1,Boros Garrison,,122,Zendikar Rising Commander,English
1,Boros Guildgate,,123,Zendikar Rising Commander,English
1,Command Tower,,124,Zendikar Rising Commander,English
1,Cryptic Caves,,125,Zendikar Rising Commander,English
1,Evolving Wilds,,129,Zendikar Rising Commander,English
1,Gruul Guildgate,,130,Zendikar Rising Commander,English
1,Gruul Turf,,131,Zendikar Rising Commander,English
1,Jungle Shrine,,132,Zendikar Rising Commander,English
1,Krosan Verge,,134,Zendikar Rising Commander,English
1,Myriad Landscape,,135,Zendikar Rising Commander,English
1,Naya Panorama,,136,Zendikar Rising Commander,English
1,Needle Spires,,137,Zendikar Rising Commander,English
1,Selesnya Guildgate,,139,Zendikar Rising Commander,English
1,Selesnya Sanctuary,,140,Zendikar Rising Commander,English
1,Terramorphic Expanse,,142,Zendikar Rising Commander,English
1,Roiling Regrowth,,201,Zendikar Rising,English
1,Murasa Rootgrazer,,229,Zendikar Rising,English
7,Plains,,380,Zendikar Rising,English
4,Mountain,,383,Zendikar Rising,English
10,Forest,,384,Zendikar Rising,English
3,Bird // Kor Ally,,12,Extras: Zendikar Rising Commander,English
4,Beast // Saproling,,17,Extras: Zendikar Rising Commander,English
3,Elemental // Elemental,,18,Extras: Zendikar Rising Commander,English
