Count,Name,Foil,Card Number,Edition,Language
1,"Anowon, the Ruin Thief",foil,1,Zendikar Rising Commander,English
1,Enigma Thief,,4,Zendikar Rising Commander,English
1,Whispersteel Dagger,,5,Zendikar Rising Commander,English
1,Aetherize,,23,Zendikar Rising Commander,English
1,Distant Melody,,24,Zendikar Rising Commander,English
1,Fact or Fiction,,25,Zendikar Rising Commander,English
1,Faerie Vandal,,26,Zendikar Rising Commander,English
1,Invisible Stalker,,27,Zendikar Rising Commander,English
1,Latchkey Faerie,,28,Zendikar Rising Commander,English
1,Marang River Prowler,,29,Zendikar Rising Commander,English
1,Master Thief,,30,Zendikar Rising Commander,English
1,Military Intelligence,,31,Zendikar Rising Commander,English
1,Nightveil Sprite,,32,Zendikar Rising Commander,English
1,Notorious Throng,,33,Zendikar Rising Commander,English
1,Open into Wonder,,34,Zendikar Rising Commander,English
1,Scourge of Fleets,,35,Zendikar Rising Commander,English
1,Slither Blade,,36,Zendikar Rising Commander,English
1,Stolen Identity,,37,Zendikar Rising Commander,English
1,Triton Shorestalker,,38,Zendikar Rising Commander,English
1,Whirler Rogue,,39,Zendikar Rising Commander,English
1,Changeling Outcast,,40,Zendikar Rising Commander,English
1,Endless Obedience,,41,Zendikar Rising Commander,English
1,Fated Return,,42,Zendikar Rising Commander,English
1,Frogtosser Banneret,,43,Zendikar Rising Commander,English
1,"Gonti, Lord of Luxury",,44,Zendikar Rising Commander,English
1,In Garruk's Wake,,45,Zendikar Rising Commander,English
1,Marsh Flitter,,46,Zendikar Rising Commander,English
1,Murder,,47,Zendikar Rising Commander,English
1,Necromantic Selection,,48,Zendikar Rising Commander,English
1,Nighthowler,,49,Zendikar Rising Commander,English
1,Ogre Slumlord,,50,Zendikar Rising Commander,English
1,Oona's Blackguard,,51,Zendikar Rising Commander,English
1,Price of Fame,,52,Zendikar Rising Commander,English
1,Rise from the Grave,,53,Zendikar Rising Commander,English
1,Sepulchral Primordial,,54,Zendikar Rising Commander,English
1,Stinkdrinker Bandit,,55,Zendikar Rising Commander,English
1,"Syr Konrad, the Grim",,56,Zendikar Rising Commander,English
1,Zulaport Cutthroat,,57,Zendikar Rising Commander,English
1,Consuming Aberration,,89,Zendikar Rising Commander,English
1,Extract from Darkness,,90,Zendikar Rising Commander,English
1,"Lazav, Dimir Mastermind",,92,Zendikar Rising Commander,English
1,Notion Thief,,96,Zendikar Rising Commander,English
1,"Oona, Queen of the Fae",,98,Zendikar Rising Commander,English
1,Silumgar's Command,,99,Zendikar Rising Commander,English
1,Soul Manipulation,,100,Zendikar Rising Commander,English
1,Spinal Embrace,,101,Zendikar Rising Commander,English
1,"Sygg, River Cutthroat",,103,Zendikar Rising Commander,English
1,Arcane Signet,,106,Zendikar Rising Commander,English
1,Blackblade Reforged,,107,Zendikar Rising Commander,English
1,Bonehoard,,108,Zendikar Rising Commander,English
1,Commander's Sphere,,109,Zendikar Rising Commander,English
1,Dimir Keyrune,,110,Zendikar Rising Commander,English
1,Dimir Locket,,111,Zendikar Rising Commander,English
1,Dimir Signet,,112,Zendikar Rising Commander,English
1,Heirloom Blade,,113,Zendikar Rising Commander,English
1,Mind Stone,,114,Zendikar Rising Commander,English
1,Obelisk of Urd,,115,Zendikar Rising Commander,English
1,Scytheclaw,,118,Zendikar Rising Commander,English
1,Sol Ring,,120,Zendikar Rising Commander,English
1,Command Tower,,124,Zendikar Rising Commander,English
1,Dimir Aqueduct,,126,Zendikar Rising Commander,English
1,Dimir Guildgate,,127,Zendikar Rising Commander,English
1,Dismal Backwater,,128,Zendikar Rising Commander,English
1,Jwar Isle Refuge,,133,Zendikar Rising Commander,English
1,Myriad Landscape,,135,Zendikar Rising Commander,English
1,Rogue's Passage,,138,Zendikar Rising Commander,English
1,Submerged Boneyard,,141,Zendikar Rising Commander,English
1,Merfolk Windrobber,,70,Zendikar Rising,English
1,Sure-Footed Infiltrator,,83,Zendikar Rising,English
1,Soaring Thought-Thief,,236,Zendikar Rising,English
15,Island,,381,Zendikar Rising,English
15,Swamp,,382,Zendikar Rising,English
1,Faerie Rogue // Germ,,13,Extras: Zendikar Rising Commander,English
2,Faerie Rogue // Goblin Rogue,,14,Extras: Zendikar Rising Commander,English
5,Faerie Rogue // Rat,,15,Extras: Zendikar Rising Commander,English
2,Faerie Rogue // Thopter,,16,Extras: Zendikar Rising Commander,English
